Ncommitsbycreator,Ncommitsinproject,Nissuesbycreatorclosed,Nissuescreatedinproject,Nissuescreatedinprojectclosed
0.0,84.0,0.0,174.0,0.0
145.0,858.0,0.0,1128.0,1.0
0.0,552.0,4.0,808.0,29.0
0.0,609.0,0.0,861.0,23.0
0.0,159.0,0.0,331.0,0.0
0.0,479.0,0.0,832.0,2.0
0.0,381.0,1.0,662.0,7.0
0.0,127.0,0.0,197.0,0.0
0.0,115.0,0.0,201.0,0.0
0.0,461.0,1.0,799.0,3.0
0.0,496.0,3.0,841.0,0.0
0.0,566.0,0.0,803.0,4.0
0.0,436.0,0.0,625.0,4.0
0.0,116.0,0.0,246.0,0.0
0.0,158.0,1.0,316.0,6.0
12.0,354.0,1.0,542.0,1.0
0.0,55.0,0.0,155.0,0.0
0.0,149.0,12.0,360.0,4.0
14.0,282.0,29.0,492.0,0.0
0.0,507.0,2.0,837.0,0.0
0.0,495.0,0.0,869.0,0.0
0.0,493.0,0.0,708.0,1.0
0.0,639.0,1.0,945.0,2.0
0.0,777.0,0.0,1040.0,1.0
0.0,845.0,0.0,1118.0,1.0
0.0,287.0,1.0,550.0,88.0
0.0,519.0,0.0,819.0,3.0
0.0,502.0,0.0,814.0,2.0
0.0,161.0,0.0,323.0,0.0
0.0,549.0,0.0,792.0,29.0
0.0,155.0,0.0,336.0,5.0
0.0,510.0,1.0,842.0,0.0
0.0,382.0,1.0,603.0,1.0
0.0,151.0,0.0,360.0,3.0
0.0,377.0,0.0,542.0,20.0
0.0,614.0,0.0,856.0,13.0
0.0,122.0,0.0,305.0,0.0
0.0,476.0,0.0,822.0,3.0
1.0,698.0,0.0,931.0,102.0
51.0,112.0,0.0,200.0,1.0
0.0,308.0,2.0,499.0,16.0
0.0,19.0,0.0,22.0,0.0
0.0,108.0,0.0,188.0,1.0
0.0,833.0,0.0,1092.0,1.0
0.0,115.0,0.0,241.0,2.0
0.0,107.0,0.0,227.0,0.0
0.0,123.0,0.0,185.0,1.0
0.0,282.0,0.0,491.0,0.0
0.0,755.0,0.0,1010.0,165.0
0.0,324.0,0.0,537.0,0.0
0.0,130.0,0.0,228.0,0.0
0.0,140.0,1.0,304.0,0.0
0.0,484.0,2.0,827.0,3.0
0.0,139.0,1.0,283.0,0.0
0.0,570.0,14.0,836.0,9.0
0.0,718.0,0.0,984.0,4.0
0.0,192.0,0.0,443.0,0.0
52.0,135.0,0.0,203.0,0.0
0.0,503.0,0.0,845.0,0.0
0.0,113.0,1.0,228.0,2.0
0.0,133.0,0.0,283.0,0.0
0.0,503.0,0.0,756.0,3.0
0.0,2.0,0.0,10.0,0.0
0.0,427.0,2.0,736.0,7.0
0.0,553.0,0.0,796.0,4.0
0.0,164.0,25.0,302.0,15.0
0.0,154.0,12.0,355.0,4.0
50.0,138.0,0.0,249.0,0.0
0.0,270.0,7.0,493.0,20.0
0.0,121.0,0.0,256.0,2.0
0.0,749.0,14.0,973.0,241.0
3.0,702.0,3.0,938.0,108.0
0.0,403.0,1.0,566.0,20.0
0.0,54.0,0.0,136.0,0.0
0.0,745.0,19.0,974.0,239.0
0.0,458.0,0.0,644.0,1.0
0.0,507.0,0.0,828.0,4.0
0.0,115.0,0.0,200.0,0.0
0.0,834.0,0.0,1101.0,1.0
0.0,591.0,0.0,847.0,26.0
0.0,158.0,0.0,271.0,0.0
0.0,533.0,0.0,801.0,2.0
0.0,843.0,1.0,1108.0,1.0
0.0,671.0,10.0,916.0,77.0
0.0,123.0,0.0,209.0,0.0
0.0,113.0,2.0,307.0,2.0
0.0,612.0,1.0,851.0,22.0
0.0,378.0,0.0,628.0,1.0
0.0,471.0,0.0,653.0,1.0
0.0,547.0,5.0,832.0,7.0
0.0,494.0,0.0,711.0,1.0
0.0,128.0,0.0,221.0,0.0
0.0,555.0,0.0,806.0,28.0
0.0,561.0,2.0,798.0,4.0
0.0,400.0,0.0,641.0,1.0
0.0,766.0,10.0,1033.0,202.0
0.0,331.0,0.0,548.0,1.0
0.0,550.0,14.0,844.0,8.0
0.0,504.0,2.0,847.0,0.0
0.0,84.0,0.0,196.0,0.0
0.0,128.0,87.0,214.0,42.0
0.0,355.0,0.0,595.0,6.0
0.0,1.0,0.0,5.0,0.0
0.0,505.0,3.0,847.0,0.0
0.0,121.0,0.0,221.0,0.0
0.0,599.0,0.0,847.0,25.0
0.0,248.0,0.0,504.0,0.0
0.0,87.0,0.0,179.0,0.0
0.0,602.0,1.0,846.0,18.0
0.0,377.0,0.0,558.0,1.0
0.0,302.0,28.0,512.0,0.0
0.0,126.0,2.0,305.0,0.0
0.0,373.0,0.0,612.0,6.0
50.0,107.0,0.0,183.0,1.0
0.0,854.0,1.0,1127.0,1.0
0.0,122.0,4.0,204.0,43.0
0.0,721.0,0.0,1021.0,1.0
0.0,650.0,44.0,896.0,127.0
0.0,842.0,0.0,1093.0,1.0
0.0,131.0,0.0,255.0,0.0
0.0,759.0,6.0,1037.0,1.0
0.0,146.0,0.0,266.0,0.0
0.0,469.0,3.0,658.0,1.0
0.0,288.0,6.0,555.0,88.0
0.0,380.0,1.0,625.0,6.0
0.0,545.0,16.0,834.0,8.0
0.0,616.0,5.0,874.0,13.0
0.0,594.0,0.0,861.0,2.0
0.0,137.0,0.0,249.0,0.0
0.0,142.0,0.0,259.0,0.0
0.0,161.0,0.0,324.0,0.0
0.0,459.0,1.0,761.0,7.0
0.0,530.0,2.0,789.0,2.0
0.0,716.0,6.0,992.0,3.0
0.0,766.0,5.0,1034.0,1.0
0.0,593.0,12.0,851.0,20.0
0.0,192.0,1.0,445.0,0.0
0.0,112.0,0.0,233.0,2.0
0.0,767.0,7.0,1028.0,202.0
0.0,83.0,0.0,166.0,0.0
0.0,843.0,0.0,1097.0,1.0
0.0,489.0,3.0,825.0,4.0
0.0,500.0,0.0,819.0,5.0
0.0,683.0,0.0,926.0,90.0
2.0,300.0,0.0,493.0,15.0
0.0,178.0,19.0,321.0,38.0
40.0,690.0,6.0,950.0,9.0
0.0,393.0,0.0,638.0,1.0
0.0,443.0,0.0,629.0,2.0
0.0,748.0,2.0,1026.0,2.0
0.0,382.0,0.0,548.0,20.0
0.0,496.0,2.0,832.0,3.0
0.0,754.0,0.0,1042.0,1.0
0.0,26.0,0.0,66.0,0.0
0.0,553.0,2.0,846.0,8.0
0.0,569.0,1.0,824.0,2.0
0.0,126.0,0.0,327.0,0.0
0.0,386.0,0.0,607.0,1.0
0.0,142.0,0.0,249.0,0.0
0.0,603.0,0.0,849.0,22.0
42.0,782.0,9.0,1051.0,199.0
0.0,113.0,0.0,173.0,0.0
0.0,460.0,0.0,805.0,3.0
83.0,122.0,0.0,223.0,0.0
27.0,107.0,1.0,185.0,1.0
0.0,121.0,0.0,249.0,0.0
0.0,746.0,0.0,1012.0,3.0
0.0,119.0,0.0,210.0,0.0
0.0,467.0,1.0,817.0,3.0
0.0,559.0,0.0,792.0,4.0
31.0,665.0,4.0,956.0,1.0
0.0,498.0,0.0,840.0,3.0
0.0,362.0,0.0,600.0,1.0
0.0,628.0,1.0,887.0,13.0
0.0,762.0,0.0,1050.0,1.0
0.0,98.0,0.0,181.0,1.0
0.0,470.0,0.0,694.0,1.0
0.0,568.0,0.0,799.0,4.0
0.0,502.0,0.0,823.0,4.0
0.0,89.0,0.0,216.0,0.0
0.0,380.0,4.0,542.0,20.0
0.0,524.0,0.0,831.0,1.0
0.0,116.0,13.0,220.0,33.0
0.0,467.0,1.0,819.0,3.0
0.0,156.0,0.0,346.0,5.0
81.0,117.0,0.0,212.0,0.0
13.0,264.0,31.0,530.0,114.0
0.0,79.0,0.0,172.0,0.0
0.0,82.0,0.0,155.0,0.0
0.0,113.0,0.0,229.0,0.0
0.0,492.0,4.0,718.0,116.0
0.0,154.0,0.0,266.0,0.0
0.0,632.0,7.0,916.0,13.0
0.0,643.0,8.0,912.0,13.0
0.0,629.0,8.0,891.0,13.0
0.0,348.0,0.0,535.0,1.0
0.0,145.0,2.0,292.0,0.0
0.0,105.0,0.0,204.0,0.0
0.0,107.0,0.0,212.0,0.0
0.0,101.0,14.0,213.0,7.0
0.0,646.0,1.0,935.0,12.0
14.0,294.0,31.0,544.0,98.0
0.0,493.0,2.0,833.0,3.0
0.0,181.0,0.0,304.0,23.0
0.0,498.0,0.0,838.0,0.0
0.0,594.0,9.0,860.0,16.0
0.0,754.0,1.0,1036.0,1.0
0.0,119.0,1.0,343.0,0.0
0.0,131.0,0.0,209.0,0.0
0.0,629.0,5.0,895.0,13.0
0.0,121.0,0.0,229.0,1.0
0.0,248.0,2.0,518.0,0.0
76.0,98.0,0.0,208.0,0.0
52.0,140.0,0.0,210.0,0.0
0.0,162.0,0.0,275.0,0.0
0.0,753.0,3.0,1030.0,2.0
0.0,655.0,0.0,948.0,1.0
0.0,470.0,2.0,784.0,6.0
0.0,139.0,0.0,228.0,0.0
0.0,657.0,2.0,944.0,12.0
0.0,164.0,1.0,330.0,0.0
0.0,750.0,14.0,1018.0,183.0
0.0,781.0,0.0,1066.0,1.0
0.0,145.0,42.0,385.0,0.0
0.0,96.0,0.0,175.0,0.0
0.0,123.0,0.0,284.0,2.0
0.0,379.0,0.0,627.0,1.0
0.0,781.0,5.0,1044.0,230.0
0.0,465.0,0.0,719.0,15.0
0.0,156.0,1.0,308.0,12.0
0.0,168.0,0.0,328.0,0.0
0.0,127.0,0.0,219.0,1.0
0.0,563.0,2.0,806.0,8.0
0.0,482.0,0.0,834.0,2.0
0.0,97.0,1.0,222.0,2.0
0.0,581.0,35.0,823.0,26.0
0.0,109.0,4.0,217.0,2.0
0.0,490.0,0.0,840.0,0.0
64.0,160.0,0.0,281.0,0.0
0.0,466.0,1.0,775.0,6.0
0.0,835.0,1.0,1099.0,1.0
0.0,156.0,0.0,321.0,0.0
0.0,764.0,0.0,1040.0,231.0
0.0,412.0,0.0,660.0,5.0
0.0,488.0,0.0,749.0,4.0
0.0,589.0,12.0,842.0,14.0
0.0,662.0,14.0,903.0,67.0
0.0,507.0,1.0,822.0,4.0
0.0,760.0,0.0,1044.0,1.0
0.0,165.0,43.0,430.0,0.0
0.0,516.0,3.0,805.0,3.0
0.0,148.0,26.0,369.0,1.0
0.0,475.0,0.0,669.0,1.0
0.0,121.0,0.0,336.0,0.0
0.0,376.0,0.0,620.0,6.0
0.0,782.0,0.0,1051.0,1.0
0.0,63.0,0.0,170.0,0.0
0.0,501.0,0.0,838.0,0.0
0.0,141.0,0.0,223.0,0.0
0.0,616.0,8.0,875.0,13.0
0.0,208.0,0.0,459.0,0.0
46.0,124.0,0.0,213.0,0.0
0.0,114.0,0.0,197.0,0.0
0.0,543.0,10.0,831.0,5.0
0.0,142.0,0.0,243.0,0.0
0.0,260.0,0.0,513.0,15.0
0.0,457.0,0.0,708.0,4.0
0.0,531.0,6.0,790.0,2.0
0.0,706.0,9.0,954.0,5.0
0.0,96.0,0.0,148.0,1.0
0.0,568.0,0.0,823.0,2.0
0.0,121.0,7.0,337.0,0.0
0.0,237.0,0.0,481.0,0.0
0.0,131.0,3.0,210.0,57.0
0.0,124.0,0.0,208.0,0.0
0.0,780.0,51.0,1021.0,302.0
0.0,736.0,6.0,979.0,139.0
0.0,750.0,6.0,1021.0,179.0
0.0,573.0,3.0,825.0,18.0
0.0,108.0,0.0,213.0,0.0
0.0,417.0,0.0,601.0,3.0
77.0,533.0,1.0,797.0,2.0
0.0,460.0,0.0,797.0,3.0
0.0,744.0,21.0,1010.0,169.0
0.0,492.0,1.0,810.0,3.0
0.0,566.0,6.0,802.0,4.0
0.0,502.0,0.0,815.0,2.0
53.0,115.0,0.0,203.0,1.0
0.0,122.0,0.0,257.0,0.0
0.0,83.0,0.0,167.0,0.0
0.0,791.0,0.0,1076.0,1.0
0.0,728.0,16.0,956.0,125.0
14.0,599.0,36.0,826.0,50.0
0.0,21.0,0.0,25.0,0.0
19.0,613.0,7.0,850.0,22.0
0.0,488.0,0.0,805.0,6.0
0.0,486.0,1.0,830.0,2.0
0.0,842.0,0.0,1095.0,1.0
0.0,120.0,0.0,219.0,0.0
0.0,374.0,0.0,590.0,1.0
0.0,116.0,0.0,225.0,1.0
0.0,582.0,3.0,834.0,36.0
0.0,508.0,6.0,762.0,3.0
45.0,115.0,0.0,204.0,0.0
0.0,96.0,0.0,192.0,0.0
0.0,504.0,2.0,869.0,0.0
0.0,116.0,0.0,208.0,0.0
0.0,302.0,6.0,545.0,64.0
0.0,384.0,5.0,633.0,6.0
0.0,119.0,0.0,207.0,0.0
0.0,239.0,0.0,479.0,0.0
0.0,826.0,0.0,1082.0,355.0
0.0,297.0,0.0,505.0,12.0
0.0,132.0,0.0,197.0,0.0
0.0,391.0,0.0,633.0,1.0
0.0,329.0,0.0,533.0,0.0
0.0,503.0,2.0,857.0,0.0
0.0,151.0,41.0,307.0,6.0
0.0,150.0,9.0,309.0,10.0
0.0,142.0,0.0,260.0,0.0
0.0,379.0,0.0,551.0,20.0
0.0,853.0,28.0,1129.0,370.0
84.0,122.0,0.0,224.0,0.0
0.0,597.0,2.0,848.0,26.0
0.0,111.0,0.0,212.0,0.0
0.0,255.0,12.0,495.0,6.0
0.0,138.0,0.0,220.0,0.0
0.0,113.0,0.0,324.0,0.0
0.0,116.0,0.0,205.0,1.0
0.0,505.0,0.0,849.0,0.0
0.0,308.0,0.0,516.0,12.0
0.0,501.0,1.0,867.0,0.0
0.0,376.0,0.0,592.0,1.0
0.0,616.0,1.0,869.0,13.0
0.0,450.0,0.0,684.0,5.0
0.0,266.0,0.0,538.0,0.0
14.0,287.0,29.0,508.0,0.0
0.0,131.0,0.0,236.0,0.0
0.0,337.0,1.0,521.0,18.0
0.0,26.0,0.0,65.0,0.0
57.0,71.0,0.0,176.0,0.0
0.0,113.0,0.0,228.0,0.0
0.0,689.0,1.0,958.0,7.0
0.0,629.0,0.0,889.0,13.0
0.0,150.0,0.0,306.0,10.0
0.0,156.0,18.0,347.0,5.0
0.0,738.0,6.0,977.0,139.0
0.0,484.0,0.0,840.0,0.0
0.0,484.0,1.0,739.0,25.0
0.0,560.0,5.0,800.0,29.0
0.0,599.0,8.0,860.0,22.0
0.0,163.0,0.0,315.0,43.0
0.0,18.0,0.0,19.0,0.0
0.0,155.0,0.0,335.0,5.0
0.0,699.0,0.0,956.0,6.0
0.0,747.0,0.0,1016.0,179.0
0.0,156.0,41.0,338.0,5.0
0.0,494.0,0.0,710.0,1.0
0.0,756.2694367930975,3.9041551896462896,1039.0,1.0
0.0,846.1312699199005,0.9343650400497024,1103.737460160199,1.0
0.0,833.0,0.07440284124329277,1092.0744028412432,1.0
0.0,747.5018077940488,0.0,1020.5514491542833,195.43592547781807
0.0,841.5883712357667,1.0,1097.8232575284667,1.0
90.77009673290412,856.5040026684939,0.3739993328765233,1127.6260006671234,1.0
0.1754189319625672,467.92960825158826,0.05847297732085577,729.0871490269144,14.239851294828876
0.0,254.0157265893399,0.0,517.1406104872372,0.0
0.0,113.21177754988818,0.0,189.8556746633492,0.0
0.0,842.7947332966081,0.0,1093.3973666483041,1.0
0.0,771.9901538886827,0.2277202777871521,1016.039636388767,267.4854827765216
0.0,835.4224878856711,1.2674636570134146,1098.7325363429866,1.0
2.3986048688056103,527.1958146064168,0.0,834.0,0.7995349562685368
0.0,430.0994387667943,0.0,622.559102026871,3.459663260076595
0.0,846.1145741926005,0.0,1098.8687445155604,1.0
0.0,391.7941670358058,0.0,654.0316666098761,4.492083347530992
0.0,845.8272841611981,1.0,1104.2878597313365,1.0
0.0,107.26004730715792,0.0,188.06903074965265,0.0
0.0,402.65690361125695,0.0,621.6585411230933,1.0
0.0,255.0,0.0,519.2220142431293,0.0
0.0,836.9951465128343,0.0,1093.0097069743315,1.0
0.0,848.0,0.0,1100.1151532953265,1.0
0.0,121.02145399382556,0.0,199.89273003087223,0.0
0.0,768.9316306985611,2.1916923581706502,1034.068369301439,1.0
0.0,835.7477284122026,0.0,1095.7568147633922,1.0
0.0,835.4093603109756,1.228080932926754,1097.5906396890243,1.0
0.0,121.07455248252747,0.0,199.62723758736266,0.0
0.0,446.5361973263255,0.0,647.8986474862885,1.0
0.0,843.506355158623,0.0,1098.5021183862077,1.0
0.0,692.3422622775752,0.3606353293630118,936.9486155712052,142.2616011983424
0.0,772.3193262929001,2.0,1045.6386525858002,1.0
0.0,472.26366716812765,0.0,752.0216689100447,11.043999683287801
0.0,122.0,0.0,196.54829605107076,0.0
0.0,843.6423191273245,0.7858936242251575,1108.8564255030994,1.0
0.0,808.9164049359124,0.0,1058.638801645304,324.6415872134564
0.0,106.35279577529941,0.0,189.38077693709207,0.0
0.0,835.0,0.32674916389464037,1099.6732508361054,1.0
0.0,419.0,0.0,611.6123298634543,1.0
0.0,248.15334295954764,0.0,518.0657184112347,0.0
0.0,443.26246055776517,0.0,654.5083070385101,1.0
0.0,427.66587345359727,0.22211646047963396,616.6663493814389,1.333174690719451
0.0,772.2573696963907,2.0,1045.5147393927814,1.0
0.0,772.0,0.0,1033.7382782877123,1.0
0.0,428.9719582626637,0.0,620.9579373939955,2.478968696997753
0.0,423.7064724170728,0.0,616.0986784518288,2.1766181042682073
2.1542422566752086,495.053130531151,0.7180807522250695,810.4361615044502,2.2819192477749306
0.0,834.2308574222953,0.0,1099.5382851554093,1.0
0.0,443.2728857611697,0.0,654.6364428805848,1.0
0.0,835.636454147811,1.9093624434329513,1098.0906375565671,1.0
0.0,800.8463653616967,0.0,1055.948788453899,307.0773834342811
0.0,843.8256364323196,0.0,1094.0871817838402,1.0
0.0,832.2865808348737,0.6072150695728114,1087.4649356261552,1.0
0.0,115.28898580648192,0.0,219.98854967731327,0.0
0.0,112.3307154902942,1.3307154902942004,233.0039267645587,0.0
133.98608517008836,844.2136432862626,0.0,1112.3653486970454,1.0
0.0,834.80621028925,0.8062102892499344,1099.19378971075,1.0
0.0,251.04307904060295,1.1305488455420147,519.304176731687,0.0
0.0,842.7581945888162,0.0,1096.5163891776324,1.0
0.0,841.2343660762608,0.7656339237392029,1098.0625356949568,1.0
0.0,689.3508462715115,0.0,952.8440683237726,9.26100930529664
0.0,833.0,0.22761623925540342,1092.2276162392554,1.0
0.0,255.90578875842374,2.1561242068428412,524.4683726205285,0.0
0.0,776.7456864349714,0.0,1018.7311542312555,297.3642160874285
0.0,836.6542368300672,0.0,1094.0,1.0
0.0,121.68951734437178,0.0,198.62096531125644,0.0
0.0,844.7650520087984,0.4116493304005334,1110.7650520087984,1.0
0.0,422.4355236884444,0.0,615.7177618442222,1.0
0.0,842.3780532047897,0.0,1094.512212819159,1.0
0.0,754.1858085860885,5.256765655645976,1037.371617172177,1.0
0.0,767.019346960634,0.6709659912520181,1038.3612789431381,1.0
0.0,771.6814815700674,2.0,1030.6814815700673,1.0
0.0,424.6423061012734,0.0,613.7371768354557,1.0
0.0,836.4923446243778,0.0,1094.0153107512444,1.0
0.0,847.5782838159266,0.21085809203670802,1102.4217161840734,1.0
0.0,837.0,0.6065915992293393,1092.180225202312,1.0
0.0,760.4031540885719,2.5691756510200277,1036.56917565102,1.0
0.0,833.0,0.3182552741464969,1092.3182552741464,1.0
0.0,716.576385960514,0.0,982.1078390030787,180.23107051572748
0.0,249.30385530385288,1.6274699131848906,517.8137349565925,0.0
0.0,440.0095514170743,0.0,649.6794018894324,1.0
0.0,770.1852885359482,0.0,1031.6805167990194,1.0
0.0,836.0,0.8699386286648045,1095.5799590857766,1.0
0.0,844.8726004225225,0.6254799154954959,1106.1273995774775,1.0
0.0,834.3851604803839,0.5382798398720386,1093.9234403202558,1.0
0.0,835.0,0.0,1099.2938867606188,1.0
1.2793007423602027,511.0448948034786,0.4264335807867342,824.1920276419052,0.8528671615734684
0.0,425.7209446744742,0.0,617.3604723372371,1.0
0.0,843.6595907818279,0.670204609086035,1111.3085677363977,1.0
0.0,661.5382574752405,0.0,902.2659620267261,129.36464395346633
0.0,248.0,0.45930719763347305,518.0,0.0
0.0,844.0,0.0,1092.1901082638497,1.0
0.0,756.0265552108663,5.324481596377915,1038.351036807244,1.0
0.0,768.3620623091184,0.0,1032.3642266340805,1.0
0.0,848.0,0.0,1101.6113586324814,1.0
0.0,651.6267874889627,0.0,900.5198784747405,123.0
0.0,835.1011205387829,1.2022410775657089,1098.7977589224342,1.0
0.0,438.077754047518,0.0,647.155508095036,1.0
0.0,836.1290783181666,0.0,1094.7418433636667,1.0
0.0,401.2937240915326,0.0,624.2354253028225,1.0
130.0063746618813,843.0,0.022508461188862516,1110.9549830776223,1.0
0.0,120.82951417328674,0.26010796149183424,202.4218353453612,0.0
0.0,315.5028405137468,0.709344303496753,532.344863291841,0.0
0.0,837.0,0.0,1093.6607195023792,1.0
0.0,95.90467437680297,0.0,180.81527337008976,0.0
0.0,769.9233846524961,2.889978006073083,1033.0766153475038,1.0
0.0,842.0,0.7811298460879594,1096.562259692176,1.0
3.0,527.9859633126912,0.033801222910294415,833.2225718730632,1.0338012229102944
